Site_id	Site_name	Parameters	Axis_title
432940113030201	USGS 88	P39180, P32106, P32102	
432919113031501	USGS 120	P32102	
433002113021701	RWMC Production	P39180, P32102	
433013113024201	USGS 87	P39180	
