Site_id	Site_name	Parameters	Axis_title
435152112443101	ANP 6	CL, Na, SO4, NO3+NO2, O-PO4 as P
434856112400001	ANP 9	CL, Na, NO3+NO2, AS, BA, CR, MO, U, ZN
433509112384801	ARBOR TEST	CL
433223112470201	AREA 2	CL, Na, SO4, NO3+NO2
432638112484101	ATOMIC CITY	CL, Na
433042112535101	BADGING FACILITY	CL, Na, SO4, NO3+NO2
433440112554401	CPP 4	CL, Na, NO3+NO2
433051113002601	EBR 1	CL, Na, NO3+NO2
433548112562301	FIRE STA 2	CL, Na, NO3+NO2
433256113002501	HIGHWAY 3	CL, Na, NO3+NO2
435153112420501	IET 1 DISP	CL, Na, NO3+NO2, O-PO4 as P, NH3
435153112420501	IET 1 DISP	SO4
432533112504901	LEO ROGERS 1	CL, Na
435038112453401	NO NAME 1	CL, Na, NO3+NO2, AS, BA, CR, U
433449112523101	NPR TEST	NO3+NO2, CL, Na
434941112454201	PSTF TEST	CL, Na, NO3+NO2, BA, MO, U
435419112453101	P AND W 2	CL, Na, NO3+NO2
433617112542001	SITE 4	CL, Na, SO4
433123112530101	SITE 9	CL, Na, SO4, NO3+NO2
434334112463101	SITE 14	CL, Na, NO3+NO2
434027112575701	SITE 17	CL, Na, SO4, NO3+NO2
433522112582101	SITE 19	CL, Na, SO4
433252112520301	SPERT 1	CL, Na, NO3+NO2
433521112573801	TRA 1	CL, Na, SO4
433522112573501	TRA 3	CL, Na, SO4
433521112574201	TRA 4	CL, Na, SO4
432700112470801	USGS 1	CL, Na, NO3+NO2,TOC
433320112432301	USGS 2	CL, Na, SO4, NO3+NO2
434657112282201	USGS 4	CL, Na, NO3+NO2, TOC
433543112493801	USGS 5	CL, Na, NO3+NO2
434031112453701	USGS 6	CL, Na, SO4, NO3+NO2
434915112443901	USGS 7	CL, Na, NO3+NO2, AS, BA, MN, U
433121113115801	USGS 8	CL, Na, NO3+NO2
432740113044501	USGS 9	CL, Na, NO3+NO2
432336113064201	USGS 11	CL, Na, NO3+NO2
434126112550701	USGS 12	CL, Na, SO4, NO3+NO2, BR
432019112563201	USGS 14 MV-61	CL, Na
434234112551701	USGS 15	CL, Na, SO4, NO3+NO2, BR
433937112515401	USGS 17	CL, Na, SO4, NO3+NO2, F
434540112440901	USGS 18	CL, Na, SO4, NO3+NO2
434426112575701	USGS 19	CL, Na, NO3+NO2
433422113031701	USGS 22	CL, Na
434055112595901	USGS 23	CL, Na, NO3+NO2
435212112394001	USGS 26	CL, Na, NO3+NO2, AS, U
434851112321801	USGS 27	CL, Na, NO3+NO2, TOC
434407112285101	USGS 29	CL, Na, SO4, NO3+NO2
434625112342101	USGS 31	CL, Na, SO4, NO3+NO2
434444112322101	USGS 32	CL, Na, SO4, NO3+NO2
433023112561501	USGS 83	CL, Na, NO3+NO2
432935113080001	USGS 86	CL, Na, NO3+NO2
433807112551501	USGS 97	CL, Na, SO4, NO3+NO2, BR, AS, BA, MO, U
433657112563601	USGS 98	CL, Na, SO4, NO3+NO2, BR,  BA, U, ZN
433705112552101	USGS 99	CL, SO4, Na, NO3+NO2, BR, TOC
433503112400701	USGS 100	CL, Na, SO4
433255112381801	USGS 101	CL, Na, NO3+NO2
433853112551601	USGS 102	CL, Na, SO4, BR, NO3+NO2, TOC
432714112560701	USGS 103	CL, Na, NO3+NO2
432942112532801	USGS 107	CL, Na, NO3+NO2
432701113025601	USGS 109	CL, Na, NO3+NO2
432717112501501	USGS 110	CL, Na
432717112501502	USGS 110A	CL, Na, NO3+NO2
432955113025901	USGS 117	CL, Na, SO4, NO3+NO2
432945113023401	USGS 119	CL, Na, SO4, NO3+NO2
433450112560301	USGS 121	CL, Na, SO4, NO3+NO2
432602113052801	USGS 125	CL, Na, NO3+NO2
435529112471301	USGS 126A	CL, Na, NO3+NO2
435529112471401	USGS 126B	CL, Na, NO3+NO2
433716112563601	WS INEL 1	NO3+NO2, TOC, CL, Na, SO4, BR
13127700	BIG LOST RIVER AT MACKAY ID	CL
13132500	BIG LOST RIVER NR ARCO ID	CL, Na, SO4, CA, MG, SI , NO3+NO2, F, K
13132520	BIG LOST RIVER BL INL DIV NEAR ARCO ID	CL
13132545	BIG LOST RIVER AT EXPERIMENTAL DAIRY FARM NR HOWE	CL
13117020	BIRCH CREEK AT BLUE DOME INN NR RENO ID	CL
13119000	LITTLE LOST RIVER NR HOWE ID	CL, Na, SO4, CA, MG, SI , NO3+NO2, K
13115000	MUD LAKE NR TERRETON ID	CL, Na, SO4, CA, MG, SI , NO3+NO2, F, K
